proof_system,alg,parties,net,size,trial,time
groth16,gsz,3,lan,512,1,0.2549903333333334
groth16,spdz,2,lan,256,2,0.28597249999999996
groth16,gsz,3,lan,512,0,0.2550883333333333
groth16,spdz,2,lan,256,1,0.28382799999999997
groth16,spdz,2,lan,256,0,0.283118
groth16,spdz,3,lan,256,2,0.290552
groth16,spdz,3,lan,256,1,0.2907743333333333
groth16,spdz,3,lan,256,0,0.29365700000000006
marlin,local,1,cohost,128,1,0.25716500000000003
marlin,local,1,cohost,128,0,0.25711900000000004
marlin,local,1,cohost,128,2,0.25979700000000006
marlin,gsz,3,lan,128,2,0.2953206666666666
marlin,gsz,3,lan,128,1,0.27965100000000004
marlin,gsz,3,lan,128,0,0.2796013333333333
plonk,gsz,3,lan,64,2,0.44598766666666667
plonk,gsz,3,lan,64,1,0.45768933333333334
plonk,local,1,cohost,64,2,0.333861
plonk,local,1,cohost,64,1,0.33099
plonk,local,1,cohost,64,0,0.331157
plonk,gsz,3,lan,64,0,0.4467016666666667
marlin,spdz,3,lan,64,2,0.30215733333333333
marlin,spdz,2,lan,64,2,0.2939385
marlin,spdz,2,lan,64,1,0.29096299999999997
marlin,spdz,3,lan,64,1,0.29964066666666667
marlin,spdz,2,lan,64,0,0.2919585
marlin,spdz,3,lan,64,0,0.29846633333333333
plonk,spdz,2,lan,32,2,0.432612
plonk,spdz,3,lan,32,2,0.4433803333333333
plonk,spdz,3,lan,32,1,0.43951433333333334
groth16,local,1,cohost,256,0,0.13446000000000002
groth16,local,1,cohost,256,2,0.134398
groth16,local,1,cohost,256,1,0.134769
plonk,spdz,2,lan,32,1,0.434798
plonk,spdz,3,lan,32,0,0.438064
plonk,spdz,2,lan,32,0,0.43535750000000006
groth16,gsz,3,lan,256,2,0.18995433333333334
groth16,gsz,3,lan,256,1,0.187284
groth16,gsz,3,lan,256,0,0.18953366666666668
groth16,spdz,2,lan,128,2,0.170985
groth16,spdz,2,lan,128,1,0.170892
groth16,spdz,2,lan,128,0,0.1711625
groth16,spdz,3,lan,128,2,0.17725866666666668
groth16,spdz,3,lan,128,1,0.17813033333333336
groth16,spdz,3,lan,128,0,0.17747633333333335
marlin,local,1,cohost,64,2,0.15906
marlin,local,1,cohost,64,1,0.160972
marlin,local,1,cohost,64,0,0.160088
marlin,gsz,3,lan,64,2,0.18667200000000003
marlin,gsz,3,lan,64,1,0.185613
marlin,gsz,3,lan,64,0,0.18993533333333334
plonk,gsz,3,lan,32,2,0.2939503333333333
plonk,gsz,3,lan,32,1,0.28901866666666665
marlin,spdz,3,lan,32,2,0.20026200000000002
plonk,gsz,3,lan,32,0,0.2966583333333333
plonk,local,1,cohost,32,2,0.19270400000000001
plonk,local,1,cohost,32,1,0.19337100000000002
plonk,local,1,cohost,32,0,0.192878
marlin,spdz,2,lan,32,2,0.1954125
marlin,spdz,2,lan,32,1,0.1936415
marlin,spdz,2,lan,32,0,0.19217800000000002
marlin,spdz,3,lan,32,1,0.19899866666666666
marlin,spdz,3,lan,32,0,0.20016200000000003
plonk,spdz,2,lan,16,2,0.32643449999999996
plonk,spdz,2,lan,16,1,0.314296
plonk,spdz,2,lan,16,0,0.3179375
plonk,spdz,3,lan,16,2,0.3276866666666667
plonk,spdz,3,lan,16,1,0.3327
plonk,spdz,3,lan,16,0,0.33551366666666665
groth16,local,1,cohost,128,0,0.07805200000000001
groth16,local,1,cohost,128,1,0.078205
groth16,local,1,cohost,128,2,0.07818000000000001
groth16,gsz,3,lan,128,2,0.12867766666666666
groth16,gsz,3,lan,128,0,0.12768533333333332
groth16,gsz,3,lan,128,1,0.13363
